"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",-122.23,37.88,41,880,129,322,126,8.3252,13.0227640121816
"6",-122.25,37.85,52,919,213,413,193,4.0368,12.5050655091278
"7",-122.25,37.84,52,2535,489,1094,514,3.6591,12.6088675250825
"14",-122.26,37.84,52,696,191,345,174,2.6736,12.1615981554283
"15",-122.26,37.85,52,2643,626,1212,620,1.9167,11.9779165523924
"16",-122.26,37.85,50,1120,283,697,264,2.125,11.8493977015914
"17",-122.27,37.85,52,1966,347,793,331,2.775,11.9349198750296
"18",-122.27,37.85,52,1228,293,648,303,2.1202,11.9544010106014
"22",-122.27,37.85,42,1639,367,929,366,1.7135,11.9816783123143
"23",-122.27,37.84,52,2436,541,1015,478,1.725,11.6430761494353
"24",-122.27,37.84,52,1688,337,853,325,2.1806,11.5099209559499
"26",-122.28,37.85,41,535,123,317,119,2.4038,11.5852461265499
"28",-122.28,37.85,52,1898,421,1102,397,1.808,11.5664662318983
"29",-122.28,37.84,50,2082,492,1131,473,1.6424,11.5981853089211
"34",-122.27,37.83,49,1655,366,754,329,1.375,11.5607627943844
"35",-122.27,37.83,51,2665,574,1258,536,2.7303,11.6055046462633
"38",-122.28,37.83,52,1511,390,901,403,1.4103,11.5511841770873
"39",-122.26,37.83,52,1470,330,689,309,3.48,12.162120758001
"40",-122.26,37.83,52,2432,715,1377,696,2.5898,12.0782392740203
"41",-122.26,37.83,52,1665,419,946,395,2.0978,11.9537577169157
"42",-122.26,37.83,51,936,311,517,249,1.2852,11.9183905730784
"43",-122.26,37.84,49,713,202,462,189,1.025,11.6851966859107
"44",-122.26,37.84,52,950,202,467,198,3.9643,12.1484435326935
"45",-122.26,37.83,52,1443,311,660,292,3.0125,12.1248625901046
"47",-122.26,37.83,50,1125,322,616,304,2.026,11.8670972786908
"48",-122.27,37.82,43,1007,312,558,253,1.7348,11.8313791960888
"49",-122.26,37.82,40,624,195,423,160,0.9506,12.1415341243926
"50",-122.27,37.82,40,946,375,700,352,1.775,11.6307085006266
"51",-122.27,37.82,21,896,453,735,438,0.9218,12.0546681913709
"53",-122.27,37.82,41,3221,853,1959,720,1.1108,11.4876076569859
